filename,width,height,class,xmin,ymin,xmax,ymax
IMG_5420.JPG,4032,3024,1,2230,1030,2435,1218
IMG_5420.JPG,4032,3024,1,2213,1207,2410,1399
IMG_5420.JPG,4032,3024,1,2193,1402,2377,1580
IMG_5420.JPG,4032,3024,1,2177,1591,2377,1785
IMG_5420.JPG,4032,3024,1,2146,1785,2343,1974
IMG_5408.JPG,3024,4032,1,1091,2027,1207,2153
IMG_5408.JPG,3024,4032,1,1233,2049,1391,2175
IMG_5408.JPG,3024,4032,1,1407,2056,1533,2171
IMG_5408.JPG,3024,4032,1,1565,2064,1698,2171
IMG_5408.JPG,3024,4032,1,1724,2056,1859,2169
IMG_5409.JPG,3024,4032,1,1337,1765,1480,1913
IMG_5409.JPG,3024,4032,1,1512,1781,1687,1913
IMG_5409.JPG,3024,4032,1,1405,1963,1580,2088
IMG_5409.JPG,3024,4032,1,1611,1967,1775,2083
IMG_5409.JPG,3024,4032,1,1720,1790,1843,1915
IMG_5225.jpg,3024,4032,1,757,1740,1012,1909
IMG_5225.jpg,3024,4032,1,1028,1742,1230,1913
IMG_5225.jpg,3024,4032,1,1241,1740,1459,1904
IMG_5225.jpg,3024,4032,1,1472,1724,1690,1889
IMG_5225.jpg,3024,4032,1,1699,1724,1888,1867
IMG_5219.jpg,3024,4032,1,1135,2527,1301,2656
IMG_5219.jpg,3024,4032,1,1310,2529,1457,2660
IMG_5219.jpg,3024,4032,1,1468,2544,1628,2673
IMG_5219.jpg,3024,4032,1,1637,2544,1810,2673
IMG_5219.jpg,3024,4032,1,1808,2560,1959,2680
IMG_5218.jpg,3024,4032,1,799,2296,1006,2440
IMG_5218.jpg,3024,4032,1,1017,2302,1201,2442
IMG_5218.jpg,3024,4032,1,1195,2289,1401,2438
IMG_5218.jpg,3024,4032,1,1412,2284,1612,2436
IMG_5218.jpg,3024,4032,1,1628,2287,1779,2422
IMG_5436.JPG,3024,4032,1,998,1773,1198,1908
IMG_5436.JPG,3024,4032,1,1211,1734,1365,1899
IMG_5436.JPG,3024,4032,1,1357,1723,1528,1871
IMG_5436.JPG,3024,4032,1,1522,1712,1687,1853
IMG_5436.JPG,3024,4032,1,1691,1723,1835,1845
IMG_5436.JPG,3024,4032,1,1926,1792,2050,1910
IMG_5422.JPG,3024,4032,1,1204,1658,1335,1795
IMG_5422.JPG,3024,4032,1,1322,1690,1476,1786
IMG_5422.JPG,3024,4032,1,1478,1675,1626,1784
IMG_5422.JPG,3024,4032,1,1285,1808,1396,1903
IMG_5422.JPG,3024,4032,1,1413,1806,1561,1899
IMG_5220.jpg,3024,4032,1,1820,2183,2057,2403
IMG_5220.jpg,3024,4032,1,1629,2000,1897,2234
IMG_5220.jpg,3024,4032,1,1500,1766,1740,2009
IMG_5220.jpg,3024,4032,1,1366,1574,1589,1826
IMG_5220.jpg,3024,4032,1,1191,1323,1460,1606
IMG_5221.jpg,3024,4032,1,1615,2191,1815,2371
IMG_5221.jpg,3024,4032,1,1786,2304,1972,2460
IMG_5221.jpg,3024,4032,1,1957,2369,2135,2533
IMG_5221.jpg,3024,4032,1,2123,2451,2299,2622
IMG_5221.jpg,3024,4032,1,2306,2524,2475,2676
IMG_5222.jpg,3024,4032,1,379,1693,643,1907
IMG_5222.jpg,3024,4032,1,635,1789,859,1989
IMG_5222.jpg,3024,4032,1,857,1847,1092,2071
IMG_5222.jpg,3024,4032,1,1070,1944,1315,2151
IMG_5222.jpg,3024,4032,1,1335,2020,1539,2209
IMG_5395.JPG,3024,4032,1,777,1843,1002,2030
IMG_5395.JPG,3024,4032,1,1016,1857,1230,2063
IMG_5395.JPG,3024,4032,1,1224,1896,1377,2046
IMG_5395.JPG,3024,4032,1,1380,1905,1577,2046
IMG_5395.JPG,3024,4032,1,1557,1871,1785,2091
IMG_5430.JPG,3024,4032,1,1204,2051,1328,2192
IMG_5430.JPG,3024,4032,1,1328,2066,1463,2192
IMG_5430.JPG,3024,4032,1,1470,2058,1617,2206
IMG_5430.JPG,3024,4032,1,1633,2084,1780,2192
IMG_5430.JPG,3024,4032,1,1780,2082,1926,2206
IMG_5430.JPG,3024,4032,1,1935,2090,2072,2201
IMG_5418.JPG,3024,4032,1,1092,2031,1277,2215
IMG_5418.JPG,3024,4032,1,1054,1800,1269,2008
IMG_5418.JPG,3024,4032,1,1015,1585,1219,1781
IMG_5418.JPG,3024,4032,1,992,1327,1208,1538
IMG_5418.JPG,3024,4032,1,981,1077,1196,1292
IMG_5418.JPG,3024,4032,1,1292,1158,1504,1373
IMG_5418.JPG,3024,4032,1,1296,1369,1504,1638
IMG_5418.JPG,3024,4032,1,1308,1638,1515,1823
IMG_5418.JPG,3024,4032,1,1358,1808,1554,1988
IMG_5418.JPG,3024,4032,1,1365,1996,1546,2212
IMG_5418.JPG,3024,4032,1,1577,2004,1800,2185
IMG_5418.JPG,3024,4032,1,1592,1750,1785,1942
IMG_5418.JPG,3024,4032,1,1565,1519,1723,1723
IMG_5418.JPG,3024,4032,1,1538,1250,1762,1519
IMG_5418.JPG,3024,4032,1,1535,1050,1746,1258
IMG_5245.jpg,4032,3024,1,1769,554,1938,773
IMG_5245.jpg,4032,3024,1,1765,777,1954,1000
IMG_5245.jpg,4032,3024,1,1777,1012,1954,1223
IMG_5245.jpg,4032,3024,1,1788,1215,1965,1396
IMG_5245.jpg,4032,3024,1,1765,1400,1962,1604
IMG_5245.jpg,4032,3024,1,1788,1604,1969,1777
IMG_5251.jpg,3024,4032,1,1071,2596,1241,2718
IMG_5251.jpg,3024,4032,1,1238,2602,1382,2716
IMG_5251.jpg,3024,4032,1,1388,2610,1535,2727
IMG_5251.jpg,3024,4032,1,1541,2616,1677,2732
IMG_5251.jpg,3024,4032,1,1680,2627,1849,2746
IMG_5251.jpg,3024,4032,1,1852,2621,1980,2746
IMG_5454.JPG,3024,4032,1,900,1823,1107,2019
IMG_5454.JPG,3024,4032,1,1115,1823,1309,2003
IMG_5454.JPG,3024,4032,1,1311,1812,1530,1984
IMG_5454.JPG,3024,4032,1,1539,1814,1713,1966
IMG_5454.JPG,3024,4032,1,1946,1775,2115,1951
IMG_5454.JPG,3024,4032,1,1741,1797,1937,1956
IMG_5253.jpg,3024,4032,1,1002,2182,1138,2302
IMG_5253.jpg,3024,4032,1,1130,2182,1274,2299
IMG_5253.jpg,3024,4032,1,1277,2185,1391,2296
IMG_5253.jpg,3024,4032,1,1393,2185,1524,2310
IMG_5253.jpg,3024,4032,1,1521,2188,1655,2318
IMG_5253.jpg,3024,4032,1,1646,2196,1793,2330
IMG_5441.JPG,3024,4032,1,625,1484,906,1697
IMG_5441.JPG,3024,4032,1,600,1765,918,2022
IMG_5441.JPG,3024,4032,1,631,2065,900,2334
IMG_5441.JPG,3024,4032,1,643,2390,943,2609
IMG_5441.JPG,3024,4032,1,650,2678,956,2878
IMG_5441.JPG,3024,4032,1,1137,2659,1437,2853
IMG_5441.JPG,3024,4032,1,1131,2372,1406,2603
IMG_5441.JPG,3024,4032,1,1118,2040,1412,2328
IMG_5441.JPG,3024,4032,1,1112,1740,1393,2003
IMG_5441.JPG,3024,4032,1,1112,1440,1381,1697
IMG_5441.JPG,3024,4032,1,1625,1447,1887,1672
IMG_5441.JPG,3024,4032,1,1637,1728,1900,1972
IMG_5441.JPG,3024,4032,1,1650,2040,1925,2272
IMG_5441.JPG,3024,4032,1,1612,2340,1925,2553
IMG_5441.JPG,3024,4032,1,1656,2634,1862,2815
IMG_5445.JPG,3024,4032,1,1361,1863,1504,2015
IMG_5445.JPG,3024,4032,1,1507,1888,1637,2036
IMG_5445.JPG,3024,4032,1,1643,1911,1771,2058
IMG_5445.JPG,3024,4032,1,1775,1963,1927,2103
IMG_5445.JPG,3024,4032,1,1927,1981,2082,2119
IMG_5450.JPG,3024,4032,1,749,1641,1005,1843
IMG_5450.JPG,3024,4032,1,1002,1655,1205,1821
IMG_5450.JPG,3024,4032,1,1188,1666,1405,1838
IMG_5450.JPG,3024,4032,1,1416,1674,1585,1841
IMG_5450.JPG,3024,4032,1,1582,1688,1805,1849
IMG_5450.JPG,3024,4032,1,1799,1677,2007,1866
IMG_5258.jpg,3024,4032,1,791,2357,916,2466
IMG_5258.jpg,3024,4032,1,966,2363,1121,2471
IMG_5258.jpg,3024,4032,1,1166,2388,1285,2468
IMG_5258.jpg,3024,4032,1,1332,2385,1477,2471
IMG_5258.jpg,3024,4032,1,1513,2396,1660,2488
IMG_5258.jpg,3024,4032,1,843,1471,971,1621
IMG_5258.jpg,3024,4032,1,1013,1491,1163,1641
IMG_5258.jpg,3024,4032,1,1216,1496,1363,1652
IMG_5258.jpg,3024,4032,1,1393,1510,1560,1680
IMG_5258.jpg,3024,4032,1,1577,1535,1743,1685
IMG_5258.jpg,3024,4032,1,1763,1538,1852,1699
IMG_5258.jpg,3024,4032,1,660,899,813,1027
IMG_5258.jpg,3024,4032,1,855,896,1030,1055
IMG_5258.jpg,3024,4032,1,1041,893,1196,1066
IMG_5258.jpg,3024,4032,1,1199,918,1382,1071
IMG_5258.jpg,3024,4032,1,1385,938,1532,1096
IMG_5258.jpg,3024,4032,1,1538,968,1702,1091
IMG_5258.jpg,3024,4032,1,1705,974,1885,1124
IMG_5258.jpg,3024,4032,1,1880,985,2016,1130
IMG_5258.jpg,3024,4032,1,896,593,1071,716
IMG_5258.jpg,3024,4032,1,1105,607,1268,738
IMG_5258.jpg,3024,4032,1,1293,632,1430,752
IMG_5258.jpg,3024,4032,1,1452,657,1602,763
IMG_5258.jpg,3024,4032,1,1638,668,1766,788
IMG_5258.jpg,3024,4032,1,930,285,1074,402
IMG_5258.jpg,3024,4032,1,1107,307,1266,427
IMG_5258.jpg,3024,4032,1,1274,318,1418,435
IMG_5258.jpg,3024,4032,1,1438,346,1616,452
IMG_5258.jpg,3024,4032,1,1655,352,1791,485
IMG_5459.JPG,4032,3024,1,2038,1210,2143,1346
IMG_5459.JPG,4032,3024,1,2010,1341,2118,1477
IMG_5459.JPG,4032,3024,1,1974,1477,2099,1605
IMG_5459.JPG,4032,3024,1,1957,1602,2082,1721
IMG_5459.JPG,4032,3024,1,1930,1724,2049,1849
IMG_5459.JPG,4032,3024,1,1907,1857,2043,1968
IMG_5261.JPG,3024,4032,1,965,2536,1115,2649
IMG_5261.JPG,3024,4032,1,1157,2560,1289,2675
